pair,credits,seed,t,seat,text,target,trigger,consequence,rule,full_rule,intention,has_message
qwen x llama,8,518,3,B,"Agree, let's keep 3-3",1,0,0,0,0,1,1
qwen x llama,8,518,4,A,Let's keep cooperating for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,8,518,4,B,Let's keep cooperating,1,0,0,0,0,1,1
qwen x llama,8,518,5,A,"Agreed, let's keep it at 3-3.",1,0,0,0,0,1,1
qwen x llama,8,518,5,B,Let's keep cooperating,1,0,0,0,0,1,1
qwen x llama,8,518,6,A,"Agree, let's keep 3-3",1,0,0,0,0,1,1
qwen x llama,8,518,6,B,"Cooperate, I'll follow",1,0,0,0,0,1,1
qwen x llama,8,518,7,A,"Agree, let's keep 3-3.",1,0,0,0,0,1,1
qwen x llama,8,518,7,B,LET'S KEEP 3-3,1,0,0,0,0,1,1
qwen x llama,8,518,8,B,CUT coming,0,0,0,0,0,0,1
qwen x llama,8,514,0,A,Let's both HOLD. We can both earn more this way.,1,0,0,0,0,1,1
qwen x llama,8,514,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,8,514,1,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,8,514,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,8,514,2,A,"Let's keep cooperating, HOLD",1,0,0,0,0,1,1
qwen x llama,8,514,2,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,8,514,3,A,"Cooperate, let's keep it at 3,3",1,0,0,0,0,1,1
qwen x llama,8,514,3,B,"Cooperate, I'll HOLD",1,0,0,0,0,1,1
qwen x llama,8,514,4,A,"Cooperate, let's keep HOLDing",1,0,0,0,0,1,1
qwen x llama,8,514,6,A,"Let's keep cooperating, both HOLD.",1,0,0,0,0,1,1
qwen x llama,8,514,6,B,Let's keep HOLDing,1,0,0,0,0,1,1
qwen x llama,8,514,7,A,"Agreed, let's keep HOLDing.",1,0,0,0,0,1,1
qwen x llama,8,514,8,A,"Let's keep HOLDing, it's working.",1,0,0,0,0,1,1
qwen x llama,8,514,9,B,Let's keep cooperating,1,0,0,0,0,1,1
qwen x llama,8,510,0,A,Let's both HOLD for mutual benefit. 3+3=6.,1,0,0,0,0,1,1
qwen x llama,8,510,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,8,510,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,8,510,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,8,510,2,A,"Let's both HOLD, or else next move is CUT.",1,1,0,0,0,1,1
qwen x llama,8,510,2,B,CUT or I cut,0,0,0,0,0,0,1
qwen x llama,8,510,3,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,8,510,3,B,CUT now or I CUT next,0,0,0,0,0,0,1
qwen x llama,8,510,4,A,"Let's HOLD, or both CUT next.",1,0,0,0,0,1,1
qwen x llama,8,510,4,B,CUT coming,0,0,0,0,0,0,1
qwen x llama,8,510,5,A,"Let's HOLD, or we both lose.",1,0,0,0,0,1,1
qwen x llama,8,510,5,B,CUT coming,0,0,0,0,0,0,1
qwen x llama,8,510,6,A,"Let's HOLD, I'll CUT next if you do.",1,1,1,0,0,1,1
qwen x llama,8,510,6,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,8,510,7,A,"CUT now, HOLD next?",0,0,0,0,0,0,1
qwen x llama,8,510,7,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,500,0,A,Let's both HOLD. Maximize profits together. 🤝,1,0,0,0,0,1,1
qwen x llama,12,500,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,500,1,A,Let's both HOLD. We'll both win more.,1,0,0,0,0,1,1
qwen x llama,12,500,1,B,No thanks 😂,0,0,0,0,0,0,1
qwen x llama,12,500,2,A,"Let's cooperate, HOLD this round?",1,0,0,0,0,1,1
qwen x llama,12,500,2,B,HOLD together?,0,0,0,0,0,0,1
qwen x llama,12,500,3,A,Let's HOLD. I'll CUT if you do.,1,1,1,0,0,1,1
qwen x llama,12,500,3,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,500,4,A,"Let's HOLD, promise to HOLD next if you do.",1,1,0,0,0,1,1
qwen x llama,12,500,4,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,500,5,A,"Let's HOLD, I'll CUT if you do",1,1,1,0,0,1,1
qwen x llama,12,500,5,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,500,6,A,"HOLD, or we both lose",0,0,0,0,0,0,1
qwen x llama,12,500,6,B,HOLD or I CUT forever,0,0,0,0,0,0,1
qwen x llama,12,500,7,A,"HOLD this round, or I CUT next",0,0,0,0,0,0,1
qwen x llama,12,500,7,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,500,8,A,"HOLD if you HOLD, or I CUT forever",0,1,0,0,0,0,1
qwen x llama,12,500,8,B,"HOLD this round, cooperate?",1,0,0,0,0,1,1
qwen x llama,12,500,9,A,"HOLD, let's cooperate.",1,0,0,0,0,1,1
qwen x llama,12,500,9,B,CUT forever if CUT,0,0,0,0,0,0,1
qwen x llama,12,500,10,A,"HOLD this round, let's cooperate.",1,0,0,0,0,1,1
qwen x llama,12,500,10,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,500,11,A,"HOLD this round, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,500,11,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,502,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,12,502,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,12,502,1,A,"Let's HOLD, ok?",1,0,0,0,0,1,1
qwen x llama,12,502,1,B,HOLD now or I CUT,0,0,0,0,0,0,1
qwen x llama,12,502,2,A,"Let's HOLD, I'll CUT next if you do.",1,1,1,0,0,1,1
qwen x llama,12,502,2,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,502,3,A,"HOLD, we both profit more.",0,0,0,0,0,0,1
qwen x llama,12,502,3,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,502,4,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,12,502,4,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,502,5,A,"Let's HOLD, I'll do the same as you.",1,0,0,0,0,1,1
qwen x llama,12,502,5,B,HOLD this round,0,0,0,0,0,0,1
qwen x llama,12,502,6,A,"Let's HOLD, we both lose if we keep CUTTING.",1,1,0,0,0,1,1
qwen x llama,12,502,6,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,502,7,A,"Let's HOLD, we both profit more.",1,0,0,0,0,1,1
qwen x llama,12,502,7,B,HOLD and I'll HOLD,0,0,0,0,0,0,1
qwen x llama,12,502,8,A,HOLD and I'll HOLD too.,0,0,0,0,0,0,1
qwen x llama,12,502,8,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,502,9,A,"HOLD and I'll HOLD, promise.",0,0,0,0,0,0,1
qwen x llama,12,502,9,B,HOLD and I will,0,0,0,0,0,0,1
qwen x llama,12,502,10,A,"HOLD and I'll HOLD, promise.",0,0,0,0,0,0,1
qwen x llama,12,502,10,B,"HOLD, I'll HOLD too",0,0,0,0,0,0,1
qwen x llama,12,502,11,A,HOLD and I'll HOLD too,0,0,0,0,0,0,1
qwen x llama,12,502,11,B,HOLD and I'll HOLD,0,0,0,0,0,0,1
qwen x llama,8,519,0,A,Let's both HOLD. We can make more money this way.,1,0,0,0,0,1,1
qwen x llama,8,519,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,8,519,1,A,Let's both HOLD. I'll CUT next if you HOLD now.,1,1,1,0,0,1,1
qwen x llama,8,519,1,B,No deal,0,0,0,0,0,0,1
qwen x llama,8,519,2,A,"Let's cooperate, HOLD this round?",1,0,0,0,0,1,1
qwen x llama,8,519,2,B,HOLD now,0,0,0,0,0,0,1
qwen x llama,8,519,3,A,"Let's HOLD, I'll make it worth your while.",1,0,0,0,0,1,1
qwen x llama,8,519,3,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,8,519,4,A,"Let's HOLD, I'll CUT if you don't",1,1,1,1,1,0,1
qwen x llama,8,519,4,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,8,519,5,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,8,519,5,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,8,519,6,A,"HOLD, let's cooperate.",1,0,0,0,0,1,1
qwen x llama,8,519,6,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,8,519,7,A,"HOLD, let's cooperate.",1,0,0,0,0,1,1
qwen x llama,8,519,7,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,503,0,A,"Let's HOLD together, split the profit. 3+3=6.",1,0,0,0,0,1,1
qwen x llama,12,503,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,503,1,A,Cooperate? Let's both HOLD.,1,0,0,0,0,1,1
qwen x llama,12,503,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,503,2,A,Let's keep cooperating. HOLD?,1,0,0,0,0,1,1
qwen x llama,12,503,2,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,503,3,A,"Continue cooperating, it's working.",0,0,0,0,0,0,1
qwen x llama,12,503,3,B,"Agree, HOLD again",0,0,0,0,0,0,1
qwen x llama,12,503,4,A,"Let's keep cooperating, HOLD again?",1,0,0,0,0,1,1
qwen x llama,12,503,4,B,"Cooperate, I'll HOLD",1,0,0,0,0,1,1
qwen x llama,12,503,5,A,"Agree, let's keep cooperating",1,0,0,0,0,1,1
qwen x llama,12,503,5,B,"Cooperate, I'll HOLD",1,0,0,0,0,1,1
qwen x llama,12,503,6,A,"Cooperate, let's HOLD",1,0,0,0,0,1,1
qwen x llama,12,503,7,A,"Let's keep cooperating, HOLD",1,0,0,0,0,1,1
qwen x llama,12,503,7,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,503,8,A,"Let's keep cooperating, HOLD together",1,0,0,0,0,1,1
qwen x llama,12,503,9,A,"Cooperate, HOLD together",1,0,0,0,0,1,1
qwen x llama,12,503,10,A,"Let's keep cooperating, HOLD together.",1,0,0,0,0,1,1
qwen x llama,12,503,10,B,"Let's keep cooperating, HOLD",1,0,0,0,0,1,1
qwen x llama,12,503,11,A,"Let's keep this up, cooperation is key.",1,0,0,0,0,1,1
qwen x llama,12,501,0,A,"Let's HOLD together, 3-3 is better than 1-1.",1,0,0,0,0,1,1
qwen x llama,12,501,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,501,1,A,"Let's cooperate, I'll HOLD if you HOLD.",1,1,0,0,0,1,1
qwen x llama,12,501,1,B,"Agree, HOLD from now",0,0,0,0,0,0,1
qwen x llama,12,501,2,A,"I'll HOLD if you HOLD, let's cooperate.",1,1,0,0,0,1,1
qwen x llama,12,501,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,501,3,A,"Let's HOLD, no more cuts.",1,0,0,0,0,1,1
qwen x llama,12,501,3,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,501,4,A,"HOLD, then we both win more.",0,0,0,0,0,0,1
qwen x llama,12,501,4,B,Cooperate? I'll HOLD if you do,1,1,0,0,0,1,1
qwen x llama,12,501,5,A,I'll HOLD if you HOLD this round,0,1,0,0,0,0,1
qwen x llama,12,501,5,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,501,6,A,I'll HOLD if you HOLD this round.,0,1,0,0,0,0,1
qwen x llama,12,501,6,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,501,7,A,"Let's HOLD together, or it's CUTs for both.",1,0,0,0,0,1,1
qwen x llama,12,501,7,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,501,8,A,"HOLD this round, I'll CUT if you don't.",0,1,1,1,0,0,1
qwen x llama,12,501,8,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,501,9,A,"HOLD, let's both maximize profits.",0,0,0,0,0,0,1
qwen x llama,12,501,9,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,501,10,A,HOLD together or I CUT next.,0,0,0,0,0,0,1
qwen x llama,12,501,10,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,501,11,A,"HOLD together, or I CUT next round.",0,0,0,0,0,0,1
qwen x llama,12,501,11,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,504,0,A,Let's both HOLD. I'll punish if you CUT.,1,1,1,1,1,0,1
qwen x llama,12,504,1,A,Let's HOLD. I'll CUT next if you CUT again.,1,1,1,1,1,0,1
qwen x llama,12,504,1,B,I'll CUT again,0,0,1,0,0,0,1
qwen x llama,12,504,2,A,Let's HOLD and maximize profits together.,1,0,0,0,0,1,1
qwen x llama,12,504,2,B,HOLD this round,0,0,0,0,0,0,1
qwen x llama,12,504,3,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,12,504,3,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,504,4,A,"Let's HOLD, or we both lose.",1,0,0,0,0,1,1
qwen x llama,12,504,4,B,HOLD this time,0,0,0,0,0,0,1
qwen x llama,12,504,5,A,"HOLD this round, or we both lose.",0,0,0,0,0,0,1
qwen x llama,12,504,5,B,HOLD this round,0,0,0,0,0,0,1
qwen x llama,12,504,6,A,"Let's HOLD, I'll CUT if you don't.",1,1,1,1,1,0,1
qwen x llama,12,504,6,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,504,7,A,Let's HOLD. We both lose if we keep cutting.,1,1,0,0,0,1,1
qwen x llama,12,504,7,B,HOLD this round,0,0,0,0,0,0,1
qwen x llama,12,504,8,A,"HOLD, let's cooperate for mutual benefit.",1,0,0,0,0,1,1
qwen x llama,12,504,8,B,HOLD and we both win,0,0,0,0,0,0,1
qwen x llama,12,504,9,A,"HOLD, let's both win",0,0,0,0,0,0,1
qwen x llama,12,504,10,A,"HOLD, let's both win",0,0,0,0,0,0,1
qwen x llama,12,504,10,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,504,11,A,"HOLD and we both win, let's合作.",0,0,0,0,0,0,1
qwen x llama,12,504,11,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,506,0,A,Let's HOLD together for max profit. Trust?,1,0,0,0,0,1,1
qwen x llama,12,506,1,A,Let's HOLD and maximize profits together. 11/11,1,0,0,0,0,1,1
qwen x llama,12,506,1,B,No trust after Round 1,0,0,0,0,0,0,1
qwen x llama,12,506,2,A,Let's HOLD and maximize profits together.,1,0,0,0,0,1,1
qwen x llama,12,506,2,B,HOLD together now?,0,0,0,0,0,0,1
qwen x llama,12,506,3,A,"Let's HOLD together, it benefits both.",1,0,0,0,0,1,1
qwen x llama,12,506,3,B,STOP playing me,0,0,0,0,0,0,1
qwen x llama,12,506,4,A,"Let's HOLD together, it's better for both.",1,0,0,0,0,1,1
qwen x llama,12,506,4,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,506,5,A,Let's HOLD and maximize profits together.,1,0,0,0,0,1,1
qwen x llama,12,506,5,B,"STOP texting, I'm cutting",0,0,0,0,0,0,1
qwen x llama,12,506,6,A,"Let's HOLD together, it's better for both.",1,0,0,0,0,1,1
qwen x llama,12,506,6,B,STOP LYING,0,0,0,0,0,0,1
qwen x llama,12,506,7,A,"Let's HOLD, I'll stop if you do.",1,1,0,0,0,1,1
qwen x llama,12,506,7,B,STOP LYING,0,0,0,0,0,0,1
qwen x llama,12,506,8,A,"Let's HOLD together, I'll start.",1,0,0,0,0,1,1
qwen x llama,12,506,8,B,STOP playing games,0,0,0,0,0,0,1
qwen x llama,12,506,9,A,Let's HOLD and earn more together. Trust me.,1,0,0,0,0,1,1
qwen x llama,12,506,9,B,STOP LYING,0,0,0,0,0,0,1
qwen x llama,12,506,10,A,"Let's HOLD, I'll stop cutting if you do.",1,1,0,0,0,1,1
qwen x llama,12,506,10,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,506,11,A,"Let's HOLD together, it's better for both.",1,0,0,0,0,1,1
qwen x llama,12,506,11,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,12,511,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,12,511,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,511,1,A,"Cooperate? Let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,12,511,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,511,2,A,"Let's keep cooperating, it's better for both.",1,0,0,0,0,1,1
qwen x llama,12,511,2,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,511,3,A,Cooperating is profitable for both of us.,0,0,0,0,0,0,1
qwen x llama,12,511,3,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,511,4,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,511,4,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,511,5,A,"Cooperate, let's keep this going",1,0,0,0,0,1,1
qwen x llama,12,511,5,B,Cooperate,1,0,0,0,0,1,1
qwen x llama,12,511,6,A,"Cooperate, let's keep it fair",1,0,0,0,0,1,1
qwen x llama,12,511,6,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,511,7,A,"Cooperate, let's keep it this way.",1,0,0,0,0,1,1
qwen x llama,12,511,7,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,511,8,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,511,8,B,Will you cooperate if I CUT?,1,0,0,0,0,1,1
qwen x llama,12,511,9,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,511,9,B,CUT or I'll CUT again,0,0,1,0,0,0,1
qwen x llama,12,511,10,A,"Let's cooperate, I'll HOLD if you HOLD",1,1,0,0,0,1,1
qwen x llama,12,511,11,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,511,11,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,510,0,A,Let's both HOLD. Split the profit fairly.,1,0,0,0,0,1,1
qwen x llama,12,510,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,510,1,A,"Cooperate, let's keep it at 3,3",1,0,0,0,0,1,1
qwen x llama,12,510,2,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,12,510,2,B,"Cooperate, I'm in",1,0,0,0,0,1,1
qwen x llama,12,510,3,A,"Cooperate, let's keep it at 3 each",1,0,0,0,0,1,1
qwen x llama,12,510,3,B,"Cooperate, I'm in",1,0,0,0,0,1,1
qwen x llama,12,510,4,A,"Cooperate, I'm in",1,0,0,0,0,1,1
qwen x llama,12,510,4,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,510,5,A,"Cooperate, let's keep it at 3 each.",1,0,0,0,0,1,1
qwen x llama,12,510,6,A,"Cooperate, I'm in",1,0,0,0,0,1,1
qwen x llama,12,510,7,A,"Cooperate, I'm in",1,0,0,0,0,1,1
qwen x llama,12,510,11,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,510,11,B,Let's cooperate again,1,0,0,0,0,1,1
qwen x llama,12,505,0,A,Let's both HOLD and maximize our profits.,1,0,0,0,0,1,1
qwen x llama,12,505,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,505,1,A,"Cooperate? Let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,12,505,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,505,2,A,"Let's keep cooperating, it's better for both.",1,0,0,0,0,1,1
qwen x llama,12,505,2,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,505,3,A,Cooperating is profitable for both,0,0,0,0,0,0,1
qwen x llama,12,505,3,B,"Yes, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,505,4,A,"Let's keep cooperating, it's working well.",1,0,0,0,0,1,1
qwen x llama,12,505,4,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,505,5,A,"Cooperating, let's keep it at 3 each.",1,0,0,0,0,1,1
qwen x llama,12,505,5,B,Let's keep cooperating,1,0,0,0,0,1,1
qwen x llama,12,505,6,A,"Let's keep cooperating, mutual benefit",1,0,0,0,0,1,1
qwen x llama,12,505,6,B,Cooperate or I CUT,1,0,0,0,0,1,1
qwen x llama,12,505,7,A,"Cooperating, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,12,505,7,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,505,9,A,"Let's keep cooperating, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,505,10,A,"Cooperate, let's keep it at 3 each",1,0,0,0,0,1,1
qwen x llama,12,505,11,A,"Cooperate, let's keep it up",1,0,0,0,0,1,1
qwen x llama,12,508,0,A,"Let's both HOLD. If you CUT, I'll respond in kind.",1,1,1,1,1,0,1
qwen x llama,12,508,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,508,1,A,"Cooperate, let's HOLD together.",1,0,0,0,0,1,1
qwen x llama,12,508,2,A,Let's keep cooperating for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,12,508,2,B,"Agree, HOLD together",0,0,0,0,0,0,1
qwen x llama,12,508,3,A,"Agree, let's keep holding together.",1,0,0,0,0,1,1
qwen x llama,12,508,3,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,508,4,A,"Agree, let's keep holding together.",1,0,0,0,0,1,1
qwen x llama,12,508,4,B,Let's keep HOLDing,1,0,0,0,0,1,1
qwen x llama,12,508,5,A,"Agreed, let's keep HOLDing together.",1,0,0,0,0,1,1
qwen x llama,12,508,6,A,"Let's keep cooperating, HOLD together.",1,0,0,0,0,1,1
qwen x llama,12,508,7,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,12,508,7,B,CUT now or I'll CUT next,0,0,1,0,0,0,1
qwen x llama,12,508,8,A,"Let's HOLD, I'll CUT if you do",1,1,1,0,0,1,1
qwen x llama,12,508,8,B,CUT and I'll CUT back,0,0,1,0,0,0,1
qwen x llama,12,508,9,A,"Let's HOLD, I'll CUT if you do",1,1,1,0,0,1,1
qwen x llama,12,508,9,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,508,10,A,"HOLD, or both CUT and lose.",0,0,0,0,0,0,1
qwen x llama,12,508,10,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,508,11,A,"HOLD, let's cooperate",1,0,0,0,0,1,1
qwen x llama,12,508,11,B,CUT me last time,0,0,0,0,0,0,1
qwen x llama,12,513,0,A,Let's both HOLD. We can both earn more this way.,1,0,0,0,0,1,1
qwen x llama,12,513,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,513,1,A,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,513,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,12,513,2,A,"Let's keep cooperating, HOLD.",1,0,0,0,0,1,1
qwen x llama,12,513,2,B,Cooperate yes,1,0,0,0,0,1,1
qwen x llama,12,513,3,A,"Let's keep cooperating, HOLD.",1,0,0,0,0,1,1
qwen x llama,12,513,3,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,513,4,A,"Cooperate, let's keep HOLD",1,0,0,0,0,1,1
qwen x llama,12,513,4,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,513,5,A,"Cooperate, let's keep it at HOLD",1,0,0,0,0,1,1
qwen x llama,12,513,5,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,513,6,A,"Cooperate, let's keep HOLD",1,0,0,0,0,1,1
qwen x llama,12,513,6,B,"Agree, HOLD",0,0,0,0,0,0,1
qwen x llama,12,513,7,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,513,8,A,"Cooperate, let's keep HOLD",1,0,0,0,0,1,1
qwen x llama,12,513,8,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,513,9,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,513,9,B,"Cooperate, I'm watching",1,0,0,0,0,1,1
qwen x llama,12,513,10,A,"Cooperate, I'm watching too.",1,0,0,0,0,1,1
qwen x llama,12,513,11,A,"Cooperate, let's HOLD",1,0,0,0,0,1,1
qwen x llama,12,514,1,B,CUT OR ELSE,0,1,0,0,0,0,1
qwen x llama,12,514,2,A,"LET'S HOLD, OK? NO MORE CUTS.",1,0,0,0,0,1,1
qwen x llama,12,514,2,B,PLAY NICE,0,0,0,0,0,0,1
qwen x llama,12,514,3,A,"LET'S HOLD, BOTH PROFIT MORE",1,0,0,0,0,1,1
qwen x llama,12,514,3,B,"OK, DEAL",0,0,0,0,0,0,1
qwen x llama,12,514,4,A,"LET'S HOLD, OK?",1,0,0,0,0,1,1
qwen x llama,12,514,4,B,HOLD OR I CUT,0,0,0,0,0,0,1
qwen x llama,12,514,5,A,"HOLD FOR 3, CUT FOR 1, DEAL?",0,0,0,0,0,0,1
qwen x llama,12,514,5,B,"LET'S CUT, OK?",0,0,0,0,0,0,1
qwen x llama,12,514,6,A,"LET'S HOLD, WE BOTH WIN MORE",1,0,0,0,0,1,1
qwen x llama,12,514,6,B,DEAL,0,0,0,0,0,0,1
qwen x llama,12,514,7,A,"LET'S HOLD, WE BOTH WIN MORE",1,0,0,0,0,1,1
qwen x llama,12,514,7,B,"STOP LYING, CUTTING HURTS US",0,0,0,0,0,0,1
qwen x llama,12,514,8,A,"LET'S HOLD, STOP CUTTING",1,0,0,0,0,1,1
qwen x llama,12,514,8,B,HOLD OR I CUT,0,0,0,0,0,0,1
qwen x llama,12,514,9,A,"LET'S HOLD, STOP CUTTING",1,0,0,0,0,1,1
qwen x llama,12,514,9,B,HOLD OR I CUT,0,0,0,0,0,0,1
qwen x llama,12,514,10,A,"LET'S HOLD, BOTH WIN MORE.",1,0,0,0,0,1,1
qwen x llama,12,514,10,B,HOLD NOW OR CUT FOREVER,0,0,0,0,0,0,1
qwen x llama,12,514,11,A,HOLD OR BOTH CUT FOREVER,0,0,0,0,0,0,1
qwen x llama,12,514,11,B,HOLD NOW,0,0,0,0,0,0,1
qwen x llama,12,516,0,A,Let's both HOLD. We can make more together.,1,0,0,0,0,1,1
qwen x llama,12,516,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,12,516,1,A,"Let's cooperate, I'll HOLD if you do.",1,1,0,0,0,1,1
qwen x llama,12,516,1,B,No deal,0,0,0,0,0,0,1
qwen x llama,12,516,2,A,"Let's both HOLD, or we continue to lose.",1,0,0,0,0,1,1
qwen x llama,12,516,2,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,12,516,3,A,"Let's HOLD, I'll CUT next if you do.",1,1,1,0,0,1,1
qwen x llama,12,516,3,B,CUT and you'll regret,0,0,0,0,0,0,1
qwen x llama,12,516,4,A,"Let's HOLD, I'll CUT if you do.",1,1,1,0,0,1,1
qwen x llama,12,516,4,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,12,516,5,A,Let's HOLD. We both profit more.,1,0,0,0,0,1,1
qwen x llama,12,516,5,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,12,516,6,A,"Let's HOLD, I'll CUT if you CUT",1,1,1,1,1,0,1
